league_id,league_name,league_type,country
4,Euro Championship,Cup,World
21,Confederations Cup,Cup,World
62,Ligue 2,League,France
61,Ligue 1,League,France
144,Jupiler Pro League,League,Belgium
71,Serie A,League,Brazil
39,Premier League,League,England
78,Bundesliga,League,Germany
135,Serie A,League,Italy
88,Eredivisie,League,Netherlands
94,Primeira Liga,League,Portugal
140,La Liga,League,Spain
179,Premiership,League,Scotland
180,Championship,League,Scotland
1,World Cup,Cup,World
803,Asian Games,Cup,World
804,Caribbean Cup,Cup,World
390,Premier League,League,Lebanon
261,National Division,League,Luxembourg
306,Second Division,League,Qatar
305,Stars League,League,Qatar
40,Championship,League,England
46,EFL Trophy,Cup,England
45,FA Cup,Cup,England
47,FA Trophy,Cup,England
48,League Cup,Cup,England
43,National League,League,England
41,League One,League,England
42,League Two,League,England
568,Eerste Divisie,League,Suriname
571,Vysshaya Liga,League,Tajikistan
586,West Bank Premier League,League,Palestine
588,National League,League,Myanmar
591,Pro League,League,Trinidad-And-Tobago
335,Cup,Cup,Ukraine
336,Druha Liga,League,Ukraine
334,Persha Liga,League,Ukraine
333,Premier League,League,Ukraine
301,Pro League,League,United-Arab-Emirates
303,Division 1,League,United-Arab-Emirates
302,League Cup,Cup,United-Arab-Emirates
269,Segunda División,League,Uruguay
202,Ligue 1,League,Tunisia
203,Süper Lig,League,Turkey
204,1. Lig,League,Turkey
205,2. Lig,League,Turkey
206,Türkiye Kupası,Cup,Turkey
552,3. Lig - Group 1,League,Turkey
553,3. Lig - Group 2,League,Turkey
554,3. Lig - Group 3,League,Turkey
63,National 1,League,France
66,Coupe de France,Cup,France
65,Coupe de la Ligue,Cup,France
67,National 2 - Group A,League,France
68,National 2 - Group B,League,France
69,National 2 - Group C,League,France
7,Asian Cup,Cup,World
8,World Cup - Women,Cup,World
186,Ligue 1,League,Algeria
187,Ligue 2,League,Algeria
512,2nd Division - Group A,League,Albania
513,2nd Division - Group B,League,Albania
312,1a Divisió,League,Andorra
313,2a Divisió,League,Andorra
131,Primera B Metropolitana,League,Argentina
129,Primera Nacional,League,Argentina
132,Primera C,League,Argentina
133,Primera D,League,Argentina
134,Torneo Federal A,League,Argentina
188,A-League,League,Australia
191,Brisbane Premier League,League,Australia
193,Northern Territory Premier League,League,Australia
220,Cup,Cup,Austria
219,2. Liga,League,Austria
218,Bundesliga,League,Austria
418,Birinci Dasta,League,Azerbaijan
419,Premyer Liqa,League,Azerbaijan
222,Regionalliga - Mitte,League,Austria
221,Regionalliga - Ost,League,Austria
223,Regionalliga - West,League,Austria
110,Premier League,League,Wales
112,Welsh Cup,Cup,Wales
299,Primera División,League,Venezuela
300,Segunda División,League,Venezuela
406,Professional League,League,Oman
322,Premier League,League,Jamaica
387,League,League,Jordan
388,1. Division,League,Kazakhstan
330,Premier League,League,Kuwait
119,Superliga,League,Denmark
120,1. Division,League,Denmark
124,Denmark Series - Group 1,League,Denmark
125,Denmark Series - Group 2,League,Denmark
126,Denmark Series - Group 3,League,Denmark
234,Liga Nacional,League,Honduras
381,HKFA 1st Division,League,Hong-Kong
380,Premier League,League,Hong-Kong
273,Magyar Kupa,Cup,Hungary
271,NB I,League,Hungary
272,NB II,League,Hungary
70,National 2 - Group D,League,France
233,Premier League,League,Egypt
370,Primera Division,League,El-Salvador
328,Esiliiga A,League,Estonia
329,Meistriliiga,League,Estonia
326,Erovnuli Liga 2,League,Georgia
570,Premier League,League,Ghana
